No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB,,
358,less tricky,MIXED,bimodal,4,4,4,4,4,4,4,4,4,0,
359,less tricky,MIXED,bimodal,4,5,4,4,5,5,4,4,4,0,
360,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
361,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
362,tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
363,less tricky,MIXED,bimodal,7,7,7,8,7,7,9,7,7,0,
364,less tricky,MIXED,bimodal,4,4,4,4,4,4,4,4,4,0,
365,less tricky,MIXED,bimodal,5,5,5,6,5,5,6,5,5,0,
366,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
367,tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
368,tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
369,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
370,very tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
371,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
372,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
373,very tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
374,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
375,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
376,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
377,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
378,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
379,less tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
380,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
381,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
382,less tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
383,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
384,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
385,tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
386,tricky,MIXED,peak at the bottom,4,3,4,4,4,4,4,3,3,0.333333333,
387,tricky,MIXED,peak at the bottom,4,4,3,3,4,4,3,3,3,0.333333333,
388,tricky,MIXED,peak at the bottom,4,4,4,3,3,3,4,3,3,0.333333333,
389,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
390,tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
391,extremely tricky,MIXED,peak in the middle,13,13,12,12,12,12,12,11,11,0.181818182,
392,tricky,MIXED,peak in the middle,15,15,14,14,14,14,14,14,14,0.071428571,
393,very tricky,MIXED,peak in the middle,12,12,12,12,12,12,12,11,11,0.090909091,
394,tricky,MIXED,peak in the middle,12,12,13,13,12,12,13,12,12,0,
395,very tricky,MIXED,peak in the middle,13,13,13,13,13,12,13,12,12,0.083333333,
396,tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,13,13,0,
397,tricky,MIXED,peak in the middle,10,10,10,10,10,10,10,10,10,0,
398,extremely tricky,MIXED,peak in the middle,12,12,13,13,12,12,12,11,11,0.090909091,
399,very tricky,MIXED,peak in the middle,14,14,14,14,13,13,14,13,13,0.076923077,
400,tricky,MIXED,peak in the middle,13,13,13,13,12,12,12,12,12,0.083333333,
401,tricky,MIXED,peak in the middle,13,13,13,13,13,12,12,12,12,0.083333333,
402,tricky,MIXED,peak in the middle,13,13,13,13,12,12,13,12,12,0.083333333,
403,tricky,MIXED,peak in the middle,12,12,13,13,12,12,13,12,12,0,
404,tricky,MIXED,peak in the middle,10,10,10,10,10,10,10,10,10,0,
405,very tricky,MIXED,peak in the middle,12,12,13,13,12,13,13,12,12,0,
406,less tricky,MIXED,peak in the middle,14,14,14,14,14,14,14,14,14,0,
407,very tricky,MIXED,peak in the middle,11,11,12,12,11,11,11,10,10,0.1,
408,tricky,MIXED,peak in the middle,14,14,15,15,14,14,14,14,14,0,
409,extremely tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,12,12,0.083333333,
410,very tricky,MIXED,peak in the middle,13,13,13,13,13,13,12,11,11,0.181818182,
411,less tricky,MIXED,peak in the middle,15,15,15,15,15,15,15,15,15,0,
412,very tricky,MIXED,peak in the middle,11,11,12,12,11,11,12,11,11,0,
413,tricky,MIXED,peak in the middle,11,11,11,11,10,10,11,10,10,0.1,
414,tricky,MIXED,peak in the middle,12,12,13,13,12,12,12,12,12,0,
415,extremely tricky,MIXED,peak in the middle,11,11,11,11,11,11,10,10,10,0.1,
416,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
417,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
418,less tricky,MIXED,bimodal,7,7,6,6,6,6,6,6,6,0.166666667,
419,less tricky,MIXED,bimodal,4,4,4,4,4,4,4,4,4,0,
420,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
421,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
422,less tricky,MIXED,bimodal,4,4,4,4,4,4,4,4,4,0,
423,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
424,very tricky,MIXED,bimodal,6,6,6,6,6,6,6,5,5,0.2,
425,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
426,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
427,tricky,MIXED,bimodal,6,6,7,7,6,6,7,6,6,0,
428,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
429,less tricky,MIXED,bimodal,4,4,4,5,4,4,4,4,4,0,
430,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
431,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
432,very tricky,MIXED,bimodal,6,6,6,6,6,6,6,5,5,0.2,
433,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
434,less tricky,MIXED,bimodal,5,5,5,6,5,5,5,5,5,0,
435,less tricky,MIXED,bimodal,8,8,7,7,7,7,7,7,7,0.142857143,
436,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
437,tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
438,very tricky,MIXED,bimodal,6,6,7,7,6,6,7,6,6,0,
439,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
440,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
441,tricky,MIXED,peak at the bottom,4,4,3,3,4,4,3,3,3,0.333333333,
442,tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
443,less tricky,MIXED,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
444,tricky,MIXED,peak at the bottom,4,4,4,3,4,4,4,3,3,0.333333333,
445,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
446,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
447,less tricky,MIXED,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
448,tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
449,tricky,MIXED,peak at the bottom,4,4,3,3,4,4,3,3,3,0.333333333,
450,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
451,less tricky,MIXED,peak at the bottom,3,3,4,3,3,3,4,3,3,0,
452,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
453,very tricky,MIXED,peak at the bottom,4,4,3,3,3,3,3,3,3,0.333333333,
454,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
455,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
456,less tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
457,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
458,less tricky,MIXED,peak at the bottom,3,3,4,3,3,3,3,3,3,0,
459,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
460,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
461,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
462,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
463,less tricky,MIXED,peak at the bottom,3,3,4,3,3,3,4,3,3,0,
464,tricky,MIXED,peak at the bottom,4,4,3,4,4,4,3,3,3,0.333333333,
465,tricky,MIXED,peak at the bottom,4,4,3,3,4,4,3,3,3,0.333333333,
466,tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,13,13,0,
467,open (not known yet),MIXED,peak in the middle,14,14,15,15,14,14,15,12,14,0.166666667,
468,tricky,MIXED,peak in the middle,13,13,14,14,13,13,14,13,13,0,
469,less tricky,MIXED,peak in the middle,14,14,15,16,14,14,14,14,14,0,
470,tricky,MIXED,peak in the middle,12,12,12,12,12,12,12,12,12,0,
471,less tricky,MIXED,peak in the middle,12,12,12,12,12,12,12,12,12,0,
472,tricky,MIXED,peak in the middle,13,13,14,13,13,13,13,13,13,0,
473,less tricky,MIXED,peak in the middle,11,10,10,10,10,10,10,10,10,0.1,
474,tricky,MIXED,peak in the middle,14,14,15,15,14,14,14,14,14,0,
475,less tricky,MIXED,peak in the middle,11,11,11,12,11,11,11,11,11,0,
476,very tricky,MIXED,peak in the middle,12,12,13,13,12,12,13,11,11,0.090909091,
477,very tricky,MIXED,peak in the middle,12,12,12,12,12,12,11,11,11,0.090909091,
478,tricky,MIXED,peak in the middle,13,13,12,12,12,12,12,12,12,0.083333333,
479,very tricky,MIXED,peak in the middle,13,13,14,15,13,13,14,13,13,0,
480,tricky,MIXED,peak in the middle,14,14,13,13,13,13,13,13,13,0.076923077,
481,less tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,13,13,0,
482,tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,13,13,0,
483,tricky,MIXED,peak in the middle,12,12,13,13,12,12,12,12,12,0,
484,tricky,MIXED,peak in the middle,13,13,13,14,13,13,13,13,13,0,
485,less tricky,MIXED,peak in the middle,15,15,15,15,15,15,15,15,15,0,
486,less tricky,MIXED,peak in the middle,11,11,11,11,11,11,11,11,11,0,
487,tricky,MIXED,peak in the middle,12,12,12,12,12,12,12,12,12,0,
488,tricky,MIXED,peak in the middle,15,15,15,15,15,15,15,15,15,0,
489,tricky,MIXED,peak in the middle,13,13,14,14,13,13,13,12,12,0.083333333,
490,tricky,MIXED,peak in the middle,12,12,12,12,12,12,12,12,12,0,
491,very tricky,MIXED,bimodal,6,6,7,7,6,6,7,6,6,0,
492,less tricky,MIXED,bimodal,5,5,6,5,5,5,5,5,5,0,
493,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
494,tricky,MIXED,bimodal,6,6,7,7,6,6,7,6,6,0,
495,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
496,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
497,extremely tricky,MIXED,bimodal,7,7,7,6,7,7,7,6,6,0.166666667,
498,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
499,tricky,MIXED,bimodal,6,6,6,6,6,6,6,5,5,0.2,
500,less tricky,MIXED,bimodal,8,8,9,8,8,8,8,8,8,0,
501,tricky,MIXED,bimodal,5,6,6,6,6,6,6,5,5,0,
502,tricky,MIXED,bimodal,4,4,4,4,4,4,4,4,4,0,
503,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
504,tricky,MIXED,bimodal,6,6,7,7,6,6,7,6,6,0,
505,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
506,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
507,less tricky,MIXED,bimodal,5,5,5,6,5,5,5,5,5,0,
508,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
509,tricky,MIXED,bimodal,5,5,5,5,5,5,5,4,4,0.25,
510,less tricky,MIXED,bimodal,5,5,6,5,5,5,6,5,5,0,
511,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
512,tricky,MIXED,bimodal,6,6,6,6,6,6,6,5,5,0.2,
513,tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
514,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
515,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
516,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
517,tricky,BN,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
518,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
519,tricky,BN,peak at the bottom,3,4,3,4,4,4,3,3,3,0,
520,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
521,less tricky,BN,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
522,tricky,BN,peak at the bottom,3,3,3,3,3,3,4,3,3,0,
523,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
524,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
525,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
,,,,,,,,,,,,,,
