No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB
116,very tricky,BN,peak at the bottom,17,17,17,17,16,16,16,16,16
117,extremely tricky,BN,peak at the bottom,16,16,16,16,16,16,16,15,15
118,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
119,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
120,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
121,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
122,less tricky,BN,peak at the bottom,13,13,13,13,13,13,13,13,13
123,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
124,extremely tricky,BN,peak at the bottom,16,16,16,16,16,16,16,15,15
125,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
126,extremely tricky,BN,peak in the middle,55,54,56,55,53,53,55,49,54
127,extremely tricky,BN,peak in the middle,58,55,58,58,54,56,58,50,54
128,extremely tricky,BN,peak in the middle,61,61,61,61,60,60,60,56,59
129,extremely tricky,BN,peak in the middle,60,56,60,59,56,56,58,53,56
130,extremely tricky,BN,peak in the middle,60,57,59,59,57,58,57,52,56
131,extremely tricky,BN,peak in the middle,58,55,57,57,55,54,56,50,54
132,extremely tricky,BN,peak in the middle,61,63,62,62,60,60,61,56,59
133,extremely tricky,BN,peak in the middle,61,61,58,59,58,58,58,53,56
134,extremely tricky,BN,peak in the middle,58,57,59,59,57,56,57,52,58
135,extremely tricky,BN,peak in the middle,60,59,59,59,58,58,59,53,58
136,extremely tricky,BN,peak in the middle,57,54,60,59,55,54,59,49,54
137,open (not known yet),BN,peak in the middle,59,57,60,60,57,56,59,50,57
138,extremely tricky,BN,peak in the middle,62,58,62,62,59,60,61,56,57
139,extremely tricky,BN,peak in the middle,55,55,55,56,55,54,54,50,52
140,extremely tricky,BN,peak in the middle,59,56,59,60,57,57,57,54,57
141,extremely tricky,BN,peak in the middle,54,53,55,55,52,52,54,49,51
142,extremely tricky,BN,peak in the middle,60,59,57,58,59,59,57,52,57
143,extremely tricky,BN,peak in the middle,58,55,56,57,55,55,56,51,52
144,extremely tricky,BN,peak in the middle,52,50,51,52,50,50,50,47,49
145,extremely tricky,BN,peak in the middle,61,59,61,61,59,60,61,53,58
146,extremely tricky,BN,peak in the middle,57,54,55,56,53,53,54,53,53
147,extremely tricky,BN,peak in the middle,66,61,64,64,61,65,63,58,62
148,extremely tricky,BN,peak in the middle,60,57,58,56,54,54,57,50,54
149,extremely tricky,BN,peak in the middle,61,58,58,58,57,58,57,54,57
150,extremely tricky,BN,peak in the middle,62,60,60,60,59,59,59,54,58
151,extremely tricky,CH,bimodal,22,22,22,22,22,22,22,21,21
152,extremely tricky,CH,bimodal,22,22,23,23,22,22,23,22,22
153,tricky,CH,bimodal,21,21,22,21,21,21,21,21,21
154,tricky,CH,bimodal,25,25,25,26,25,25,25,25,25
155,very tricky,CH,bimodal,23,22,22,22,22,22,22,22,22
156,very tricky,CH,bimodal,23,23,23,24,23,23,24,23,23
157,extremely tricky,CH,bimodal,27,26,26,26,27,26,26,26,26
158,tricky,CH,bimodal,23,23,23,24,23,23,23,23,23
159,tricky,CH,bimodal,19,19,19,20,19,19,19,19,19
160,extremely tricky,CH,bimodal,23,22,23,23,22,22,23,22,22
161,extremely tricky,CH,bimodal,23,23,23,24,23,23,23,22,22
162,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
163,very tricky,CH,bimodal,26,25,25,26,25,25,25,25,25
164,very tricky,CH,bimodal,24,23,24,24,23,24,23,23,23
165,extremely tricky,CH,bimodal,26,25,26,25,25,25,25,24,24
166,extremely tricky,CH,bimodal,25,25,25,25,24,24,25,24,24
167,tricky,CH,bimodal,22,22,22,22,22,22,22,22,22
168,extremely tricky,CH,bimodal,22,22,22,22,22,22,22,21,21
169,very tricky,CH,bimodal,22,21,22,22,21,21,22,21,21
170,extremely tricky,CH,bimodal,25,25,25,25,25,25,25,24,24
171,extremely tricky,CH,bimodal,25,25,26,25,25,25,25,24,24
172,extremely tricky,CH,bimodal,24,24,25,25,24,24,24,24,24
173,open (not known yet),CH,bimodal,26,26,25,26,25,25,25,24,25
174,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
175,open (not known yet),CH,bimodal,27,27,27,28,27,27,27,26,27
176,tricky,CH,peak at the bottom,13,13,14,13,13,13,13,13,13
177,tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
178,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
179,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
180,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
181,very tricky,CH,peak at the bottom,14,13,13,14,13,13,13,13,13
182,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
183,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
184,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
185,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
186,extremely tricky,CH,peak at the bottom,15,15,15,15,15,15,15,14,14
187,extremely tricky,CH,peak at the bottom,14,14,14,14,14,14,14,13,13
188,less tricky,CH,peak at the bottom,16,16,16,17,16,16,16,16,16
189,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
190,extremely tricky,CH,peak at the bottom,14,13,14,14,13,13,14,13,13
191,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
